ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,IncomeScore,NeighborhoodScore,Rank
60612,0.3948220064724918,0.3684794672586016,,,,,,,6.763615526007436,0.1836734693877551,0.5143769968051118,0.6479459178367136,0.6348897535667963,0.6950303897032529,-1.3948203132463313,39.0
60613,0.7229773462783173,0.9112097669256383,0.18471337579617836,0.104,0.109,0.284,0.502,49029.0,6.322788553713109,0.018140589569160998,0.19808306709265175,0.4669786791471659,0.16926070038910507,0.9124061494458345,-0.8782742958162063,21.0
60614,0.9158576051779936,0.7802441731409548,0.14649681528662423,0.114,0.079,0.193,0.614,65420.0,3.821461326811373,0.0,0.10862619808306709,0.6021840873634946,0.1491569390402075,0.9613872005720413,-0.36052027467426057,5.0
60615,0.6582524271844661,0.7802441731409548,0.10191082802547771,0.255,0.188,0.2345,0.3225,40392.0,4.45632798573975,0.045351473922902494,0.3386581469648562,0.546021840873635,0.33981841763942927,0.577583124776546,-0.687203611007429,14.0
60616,0.22783171521035595,0.5693673695893455,0.07218683651804672,0.27666666666666667,0.14433333333333334,0.24133333333333332,0.33499999999999996,45736.0,2.9152819077604804,0.04761904761904762,0.3514376996805112,0.6422256890275612,0.35214007782101164,0.5775235371231079,-0.5237330028405156,10.0
60617,0.4757281553398058,0.4428412874583798,0.2515923566878981,0.263,0.2215,0.2745,0.241,76284.0,5.440197157988569,0.06349206349206349,0.7891373801916933,0.9188767550702029,0.8443579766536965,0.5130496961029672,-1.2375294340096585,36.0
60618,0.5831715210355986,0.7869034406215318,0.14012738853503187,0.108,0.119,0.25366666666666665,0.5196666666666667,81196.0,2.9558106310655696,0.020408163265306124,0.3738019169329073,0.5512220488819554,0.2944228274967574,0.9082350137051601,-0.3179496404648733,4.0
60619,0.21035598705501618,0.5127635960044394,0.36464968152866245,0.28600000000000003,0.2555,0.26375,0.19425,63234.0,9.369959199165006,0.12471655328798187,0.9169329073482428,1.0,0.9999999999999999,0.4382373972112975,-2.151700086328096,44.0
60620,0.42524271844660194,0.5693673695893455,0.9363057324840764,0.33,0.238,0.243,0.189,65551.0,22.73039312901405,0.13378684807256236,1.0,0.9895995839833595,0.9883268482490272,0.3868430461208435,-4.777833030743871,56.0
60621,0.5042071197411004,0.5116537180910101,0.32484076433121023,0.465,0.226,0.228,0.081,33738.0,15.70928922876282,0.1564625850340136,0.5399361022364217,0.4336973478939158,0.6569390402075227,0.16374687164819446,-3.2197529912469003,52.0
60622,0.4653721682847896,0.7247502774694787,0.2611464968152866,0.099,0.073,0.238,0.589,46247.0,9.297900404350553,0.04761904761904762,0.26837060702875404,0.5876235049401977,0.2963683527885862,0.9764032892384694,-1.6133317009131598,42.0
60623,0.6012944983818771,0.5826859045504995,0.2356687898089172,0.3415,0.2635,0.2375,0.15749999999999997,61659.0,6.325110689437065,0.4421768707482993,0.8785942492012779,0.6198647945917838,0.9935149156939039,0.3409009653199856,-1.4527353746316893,41.0
60624,0.5779935275080907,0.4794672586015538,0.20382165605095542,0.4295,0.22949999999999998,0.196,0.14500000000000002,31990.0,10.628321350422006,1.0,0.6517571884984026,0.5200208008320334,0.8378728923476005,0.2348945298534143,-2.342403930968245,48.0
60625,0.7967637540453074,0.8146503884572696,0.06687898089171976,0.11499999999999999,0.16999999999999998,0.292,0.4225,74239.0,1.6837511281132558,0.020408163265306124,0.34185303514376997,0.43733749349974005,0.3028534370946822,0.825527350732928,-0.0201375365595014,1.0
60626,0.6556634304207121,0.6082130965593788,0.178343949044586,0.219,0.229,0.315,0.237,48557.0,6.178305908519884,0.045351473922902494,0.34185303514376997,0.47009880395215814,0.27950713359273666,0.5691812656417586,-1.0380797148579268,28.0
60628,0.3760517799352751,0.2852386237513873,0.5286624203821656,0.22933333333333336,0.216,0.316,0.23833333333333337,71187.0,11.940382373186115,0.11564625850340136,0.9872204472843451,0.8419136765470621,0.9098573281452659,0.5635800262185676,-2.6037633339615383,50.0
60629,0.5048543689320388,0.4938956714761378,0.23142250530785566,0.20533333333333334,0.23700000000000002,0.291,0.26666666666666666,105209.0,3.643541268649387,0.07256235827664399,0.7699680511182109,0.7493499739989601,0.7133592736705577,0.5936122035514241,-0.7801888249637384,16.0
60630,0.5585760517799354,0.6381798002219756,0.10191082802547771,0.123,0.147,0.289,0.441,50175.0,3.5874439461883405,0.0272108843537415,0.20766773162939298,0.29381175247009883,0.11673151750972761,0.8380407579549513,-0.395594029055368,6.0
60631,0.4932038834951456,0.07880133185349614,0.089171974522293,0.1195,0.1195,0.1965,0.5635,28308.0,5.652112477038293,0.0045351473922902496,0.04792332268370607,0.06968278731149247,0.009727626459143969,0.9047193421523058,-0.8487354020652889,19.0
60632,0.6867313915857605,0.7835738068812432,0.12314225053078556,0.207,0.2733333333333333,0.2776666666666667,0.24233333333333332,65957.0,3.23443051280885,0.02947845804988662,0.4664536741214057,0.5080603224128966,0.5356679636835279,0.557144559647241,-0.5067886329463342,8.0
